Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
250,Call of Duty: Ghosts,PS3,Activision,N/A,10.13m,4.11m,4.01m,0.39m,1.62m,05th Nov 13
251,Watch Dogs,Series,Unknown,10.13m,N/A,N/A,N/A,N/A,N/A,N/A
252,ARMA,Series,505 Games,10.00m,N/A,N/A,N/A,N/A,N/A,04th May 07
253,Buzz!,Series,Sony Computer Entertainment Europe,10.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 05
254,Dragon Ball Xenoverse,Series,Bandai Namco Games,10.00m,N/A,N/A,N/A,N/A,N/A,24th Feb 15
255,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,10.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17
256,Killing Floor,Series,Tripwire Interactive,10.00m,N/A,N/A,N/A,N/A,N/A,14th May 09
257,MX vs. ATV,Series,Unknown,10.00m,N/A,N/A,N/A,N/A,N/A,N/A
258,Nobunaga's Ambition,Series,KOEI,10.00m,N/A,N/A,N/A,N/A,N/A,01st Mar 83
259,Pitfall,Series,Activision,10.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 82
260,RollerCoaster Tycoon 3,PC,Atari,10.00m,N/A,N/A,N/A,N/A,N/A,26th Oct 04
261,Sniper Elite,Series,Namco,10.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 05
262,Stardew Valley,Series,Chucklefish,10.00m,N/A,N/A,N/A,N/A,N/A,26th Feb 16
263,Taiko no Tatsujin,Series,Namco,10.00m,N/A,N/A,N/A,N/A,N/A,26th Oct 04
264,The Settlers,Series,Blue Byte,10.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 93
265,Halo: Reach,X360,Microsoft Game Studios,N/A,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10
266,Portal,PC,Valve Corporation,9.97m,N/A,N/A,N/A,N/A,N/A,09th Apr 08
267,Paper Mario,Series,Nintendo,9.97m,N/A,N/A,N/A,N/A,N/A,05th Feb 01
268,Halo 4,X360,Microsoft Studios,N/A,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12
269,The Binding of Isaac,Series,Unknown,9.93m,N/A,N/A,N/A,N/A,N/A,N/A
270,Final Fantasy VII,PS,Sony Computer Entertainment,9.90m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97
271,SaGa,Series,Sunsoft,9.90m,N/A,N/A,N/A,N/A,N/A,30th Sep 90
272,Mario Golf,Series,Nintendo,9.87m,N/A,N/A,N/A,N/A,N/A,29th Sep 91
273,Mario Kart 64,N64,Nintendo,9.87m,N/A,N/A,N/A,N/A,N/A,10th Feb 97
274,Splatoon 2,NS,Nintendo,9.81m,N/A,N/A,N/A,N/A,N/A,21st Jul 17
275,Dead or Alive,Series,Tecmo,9.70m,N/A,N/A,N/A,N/A,N/A,31st Mar 98
276,Super Smash Bros. for 3DS,3DS,Nintendo,9.57m,N/A,N/A,N/A,N/A,N/A,03rd Oct 14
277,Carnival Games,Series,Global Star Software,9.50m,N/A,N/A,N/A,N/A,N/A,27th Aug 07
278,Big Brain Academy,Series,Unknown,9.49m,N/A,N/A,N/A,N/A,N/A,N/A
279,Call of Duty 4: Modern Warfare,X360,Activision,N/A,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07
280,Gran Turismo 2,PS,Sony Computer Entertainment,9.37m,N/A,N/A,N/A,N/A,N/A,17th Jan 99
281,Wii Party,Wii,Nintendo,9.34m,N/A,N/A,N/A,N/A,N/A,03rd Oct 10
282,Call of Duty: Black Ops IIII,PS4,Activision,N/A,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18
283,Mario Party DS,DS,Nintendo,9.31m,N/A,N/A,N/A,N/A,N/A,19th Nov 07
284,Donkey Kong Country,SNES,Nintendo,9.30m,N/A,N/A,N/A,N/A,N/A,21st Nov 94
285,Half-Life,PC,Sierra Entertainment,9.30m,N/A,N/A,N/A,N/A,N/A,19th Nov 98
286,Marvel vs. Capcom,Series,Capcom,9.30m,N/A,N/A,N/A,N/A,N/A,01st Dec 96
287,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,9.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 11
288,FIFA 19,PS4,Electronic Arts,N/A,9.15m,0.84m,6.87m,0.10m,1.34m,28th Sep 18
289,Super Mario Party,NS,Nintendo,9.12m,N/A,N/A,N/A,N/A,N/A,05th Oct 18
290,Rust,PC,Facepunch Studios,9.02m,N/A,N/A,N/A,N/A,N/A,08th Feb 18
291,Payday,Series,Daybreak Games,9.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 11
292,Silent Hill,Series,Konami,9.00m,N/A,N/A,N/A,N/A,N/A,23rd Feb 99
293,The Experience,Series,Ubisoft,9.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 10
294,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,N/A,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11
295,Mario Party 8,Wii,Nintendo,8.85m,N/A,N/A,N/A,N/A,N/A,29th May 07
296,Super Mario Kart,SNES,Nintendo,8.76m,N/A,N/A,N/A,N/A,N/A,01st Sep 92
297,Grand Theft Auto V,XOne,Rockstar Games,N/A,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14
298,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo,8.70m,N/A,N/A,N/A,N/A,N/A,17th Nov 17
299,Final Fantasy VIII,PS,Square EA,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99
300,Final Fantasy X,PS2,Square,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01
301,Pokémon Black 2 and White 2,DS,Nintendo,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12
302,Call of Duty: Infinite Warfare,PS4,Activision,N/A,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16
303,Fallout 4,PS4,Bethesda Softworks,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15
304,Mario Kart 8,WiiU,Nintendo,8.44m,N/A,N/A,N/A,N/A,N/A,30th May 14
305,Onimusha,Series,Capcom,8.30m,N/A,N/A,N/A,N/A,N/A,13th Mar 01
306,Tekken 3,PS,Namco,8.30m,N/A,N/A,N/A,N/A,N/A,29th Apr 98
307,FIFA 16,PS4,EA Sports,N/A,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15
308,The Last of Us,PS3,Sony Computer Entertainment America,8.15m,N/A,N/A,N/A,N/A,N/A,14th Jun 13
309,GoldenEye 007,N64,Nintendo,8.09m,N/A,N/A,N/A,N/A,N/A,25th Aug 97
310,Star Wars Battlefront (2015),PS4,Electronic Arts,N/A,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15
311,FIFA 13,PS3,EA Sports,N/A,8.01m,1.07m,5.13m,0.13m,1.68m,25th Sep 12
312,Halo 2,XB,Microsoft Game Studios,8.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 04
313,Inazuma Eleven,Series,Level 5,8.00m,N/A,N/A,N/A,N/A,N/A,22nd Aug 08
314,Kinect Sports,Series,Microsoft Game Studios,8.00m,N/A,N/A,N/A,N/A,N/A,09th Oct 10
315,Moto Racer,Series,Electronic Arts,8.00m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97
316,Unreal,Series,GT Interactive,8.00m,N/A,N/A,N/A,N/A,N/A,22nd May 98
317,The Sims 3,PC,Electronic Arts,N/A,7.96m,1.01m,6.46m,N/A,0.50m,02nd Jun 09
318,Romance of the Three Kingdoms,Series,KOEI,7.76m,N/A,N/A,N/A,N/A,N/A,10th Dec 85
319,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,N/A,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05
320,Pac-Man,2600,Atari,7.70m,N/A,N/A,N/A,N/A,N/A,01st Mar 82
321,God of War III,PS3,Sony Computer Entertainment,7.60m,N/A,N/A,N/A,N/A,N/A,16th Mar 10
322,Pokémon Platinum Version,DS,Nintendo,7.60m,N/A,N/A,N/A,N/A,N/A,22nd Mar 09
323,The Legend of Zelda: Ocarina of Time,N64,Nintendo,7.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 98
324,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,N/A,7.58m,3.78m,2.17m,1.31m,0.31m,31st Oct 97
325,Call of Duty: Advanced Warfare,PS4,Activision,N/A,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14
326,Crysis,Series,Electronic Arts,7.50m,N/A,N/A,N/A,N/A,N/A,13th Nov 07
327,Call of Duty: World at War,X360,Activision,N/A,7.50m,4.88m,1.91m,N/A,0.71m,10th Nov 08
328,Baldur's Gate,Series,Interplay Entertainment Corp.,7.47m,N/A,N/A,N/A,N/A,N/A,31st Jul 00
329,Super Mario Bros. 2,NES,Nintendo,7.46m,N/A,N/A,N/A,N/A,N/A,01st Oct 88
330,Super Mario Galaxy 2,Wii,Nintendo,7.41m,N/A,N/A,N/A,N/A,N/A,23rd May 10
331,Super Smash Bros. Melee,GC,Nintendo,7.41m,N/A,N/A,N/A,N/A,N/A,02nd Dec 01
332,Call of Duty: Black Ops 3,XOne,Activision,N/A,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15
333,Battlefield 3,X360,Electronic Arts,N/A,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11
334,Ace Attorney,Series,Capcom,7.30m,N/A,N/A,N/A,N/A,N/A,12th Oct 05
335,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,7.29m,N/A,N/A,N/A,N/A,N/A,30th Sep 16
336,Ark,Series,Studio Wildcard,7.26m,N/A,N/A,N/A,N/A,N/A,27th Aug 17
337,The Legend of Zelda: Twilight Princess,Wii,Nintendo,7.26m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
338,Battlefield 1,PS4,Electronic Arts,N/A,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16
339,Battlefield 3,PS3,Electronic Arts,N/A,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11
340,Need for Speed Underground,PS2,Electronic Arts,N/A,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03
341,Megami Tensei,Series,Atlus,7.20m,N/A,N/A,N/A,N/A,N/A,12th Oct 04
342,The Binding of Isaac,PC,Edmund McMillen,7.17m,N/A,N/A,N/A,N/A,N/A,28th Sep 11
343,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,N/A,7.13m,3.68m,1.75m,1.42m,0.28m,31st Oct 98
344,Pokémon Emerald Version,GBA,Nintendo,7.06m,N/A,N/A,N/A,N/A,N/A,30th Apr 05
345,Guild Wars 2,PC,NCSoft,7.00m,N/A,N/A,N/A,N/A,N/A,28th Aug 12
346,Oddworld,Series,GT Interactive,7.00m,N/A,N/A,N/A,N/A,N/A,19th Sep 97
347,Project Gotham Racing,Series,Sega,7.00m,N/A,N/A,N/A,N/A,N/A,15th Jan 01
348,Rugrats,Series,THQ,7.00m,N/A,N/A,N/A,N/A,N/A,29th Jun 99
349,Samurai Warriors,Series,KOEI,7.00m,N/A,N/A,N/A,N/A,N/A,06th May 04
350,Need for Speed Underground 2,PS2,Electronic Arts,N/A,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04
351,Just Dance 4,Wii,Ubisoft,N/A,6.89m,4.05m,2.21m,N/A,0.62m,09th Oct 12
352,Mario Kart: Double Dash!!,GC,Nintendo,6.88m,N/A,N/A,N/A,N/A,N/A,17th Nov 03
353,Medal of Honor: Frontline,PS2,Electronic Arts,N/A,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02
354,Crash Bandicoot,PS,Sony Computer Entertainment,6.82m,N/A,N/A,N/A,N/A,N/A,01st Sep 96
355,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,N/A,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09
356,Call of Duty 4: Modern Warfare,PS3,Activision,N/A,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07
357,Star Wars: Knights of the Old Republic,Series,LucasArts,6.70m,N/A,N/A,N/A,N/A,N/A,15th Jul 03
358,Dead Space,Series,Unknown,6.67m,N/A,N/A,N/A,N/A,N/A,N/A
359,FIFA Soccer 12,PS3,EA Sports,N/A,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11
360,FIFA 14,PS3,EA Sports,N/A,6.61m,0.79m,4.77m,0.07m,0.98m,24th Sep 13
361,Fallout 4,PC,Bethesda Softworks,6.60m,N/A,N/A,N/A,N/A,N/A,10th Nov 15
362,Red Dead Redemption,PS3,Rockstar Games,N/A,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11
363,Tomodachi Life,3DS,Nintendo,6.55m,N/A,N/A,N/A,N/A,N/A,06th Jun 14
364,Donkey Kong Country Returns,Wii,Nintendo,6.53m,N/A,N/A,N/A,N/A,N/A,21st Nov 10
365,The Legend of Zelda,NES,Nintendo,6.51m,N/A,N/A,N/A,N/A,N/A,22nd Aug 87
366,Assassin's Creed III,PS3,Ubisoft,N/A,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12
367,Guild Wars,PC,NCSoft,6.50m,N/A,N/A,N/A,N/A,N/A,26th Apr 05
368,Red Dead Redemption,X360,Rockstar Games,N/A,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10
369,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,N/A,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11
370,Diddy Kong Racing,Series,Nintendo,6.47m,N/A,N/A,N/A,N/A,N/A,24th Nov 97
371,Final Fantasy XII,PS2,Square Enix,6.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 06
372,Pokémon Crystal Version,GBC,Nintendo,6.39m,N/A,N/A,N/A,N/A,N/A,29th Jul 01
373,Halo 3: ODST,X360,Microsoft Game Studios,N/A,6.35m,4.34m,1.34m,0.06m,0.61m,22nd Sep 09
374,Minecraft,PS4,Sony Computer Entertainment,N/A,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14
375,FIFA 15,PS4,EA Sports,N/A,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14
376,Kingdom Hearts,PS2,Square EA,6.30m,N/A,N/A,N/A,N/A,N/A,16th Sep 02
377,Myst,PC,Broderbund,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jan 95
378,Street Fighter II: The World Warrior,SNES,Capcom,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jul 92
379,Driver,PS,GT Interactive,N/A,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99
380,Call of Duty: WWII,XOne,Activision,N/A,6.23m,3.75m,1.91m,N/A,0.57m,03rd Nov 17
381,Lost Planet,Series,Capcom,6.20m,N/A,N/A,N/A,N/A,N/A,12th Jan 07
382,Luigi's Mansion: Dark Moon,3DS,Nintendo,6.16m,N/A,N/A,N/A,N/A,N/A,24th Mar 13
383,Big Brain Academy,DS,Nintendo,6.15m,N/A,N/A,N/A,N/A,N/A,05th Jun 06
384,Hatsune Miku: Project,Series,Sega,6.10m,N/A,N/A,N/A,N/A,N/A,09th Apr 12
385,Minecraft,PS3,Sony Computer Entertainment America,N/A,6.05m,2.21m,2.86m,N/A,0.99m,16th May 14
386,Metal Gear Solid 2: Sons of Liberty,PS2,Konami,N/A,6.05m,2.45m,2.01m,0.87m,0.72m,12th Nov 01
387,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,6.02m,N/A,N/A,N/A,N/A,N/A,19th Jun 11
388,Championship Manager,Series,Domark Software,6.00m,N/A,N/A,N/A,N/A,N/A,01st Sep 92
389,Cities: Skylines,PC,Paradox Interactive,6.00m,N/A,N/A,N/A,N/A,N/A,10th Mar 15
390,Conflict,Series,Gotham Games,6.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 02
391,Mana,Series,Square,6.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 91
392,Metal Gear Solid,PS,Konami,6.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 98
393,MotorStorm,Series,Unknown,6.00m,N/A,N/A,N/A,N/A,N/A,N/A
394,NBA Jam,Series,Midway,6.00m,N/A,N/A,N/A,N/A,N/A,04th Mar 94
395,Sonic the Hedgehog 2,GEN,Sega,6.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 92
396,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,N/A,6.00m,2.63m,1.72m,0.83m,0.81m,12th Jun 08
397,Euro Truck Simulator 2,PC,SCS Software,5.98m,N/A,N/A,N/A,N/A,N/A,16th Jan 13
398,WarioWare,Series,Nintendo,5.92m,N/A,N/A,N/A,N/A,N/A,26th May 03
399,Deus Ex,Series,Eidos Interactive,5.92m,N/A,N/A,N/A,N/A,N/A,17th Jun 00
400,Mario Kart: Super Circuit,GBA,Nintendo,5.91m,N/A,N/A,N/A,N/A,N/A,26th Aug 01
401,Super Mario Sunshine,GC,Nintendo,5.91m,N/A,N/A,N/A,N/A,N/A,25th Aug 02
402,Mario vs. Donkey Kong,Series,Nintendo,5.87m,N/A,N/A,N/A,N/A,N/A,24th May 04
403,New Super Mario Bros. U Deluxe,NS,Nintendo,5.85m,N/A,N/A,N/A,N/A,N/A,11th Jan 19
404,Super Mario 3D World,WiiU,Nintendo,5.83m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13
405,Age of Empires II: HD Edition,PC,Microsoft Studios,5.82m,N/A,N/A,N/A,N/A,N/A,09th Apr 13
406,Link's Crossbow Training,Wii,Nintendo,5.79m,N/A,N/A,N/A,N/A,N/A,19th Nov 07
407,New Super Mario Bros. U,WiiU,Nintendo,5.79m,N/A,N/A,N/A,N/A,N/A,18th Nov 12
408,Red Dead Redemption 2,XOne,Rockstar Games,N/A,5.77m,3.76m,1.47m,N/A,0.54m,26th Oct 18
409,Destiny,PS4,Activision,N/A,5.76m,2.53m,2.13m,0.16m,0.94m,09th Sep 14
410,Tekken 2,PS,Namco,N/A,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96
411,Trials,Series,Unknown,5.70m,N/A,N/A,N/A,N/A,N/A,N/A
412,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,N/A,5.70m,2.55m,2.11m,0.10m,0.94m,07th Oct 15
413,Super Mario World: Super Mario Advance 2,GBA,Nintendo,5.69m,N/A,N/A,N/A,N/A,N/A,09th Feb 02
414,LEGO Star Wars: The Complete Saga,Wii,LucasArts,N/A,5.66m,3.57m,1.57m,N/A,0.52m,06th Nov 07
415,Cooking Mama,DS,Majesco,N/A,5.66m,3.09m,1.92m,0.07m,0.58m,12th Sep 06
416,Tetris,NES,Nintendo,5.58m,N/A,N/A,N/A,N/A,N/A,01st Nov 89
417,Super Mario Advance,GBA,Nintendo,5.57m,N/A,N/A,N/A,N/A,N/A,10th Jun 01
418,Assassin's Creed II,PS3,Ubisoft,N/A,5.57m,2.54m,1.95m,0.21m,0.86m,17th Nov 09
419,Super Smash Bros.,N64,Nintendo,5.55m,N/A,N/A,N/A,N/A,N/A,26th Apr 99
420,Assassin's Creed,X360,Ubisoft,N/A,5.55m,3.28m,1.64m,0.07m,0.56m,13th Nov 07
421,Batman: Arkham City,PS3,Warner Bros. Interactive,N/A,5.54m,2.72m,1.89m,0.11m,0.82m,18th Oct 11
422,Forza Motorsport 3,X360,Microsoft Game Studios,N/A,5.50m,2.99m,1.90m,0.10m,0.51m,27th Oct 09
423,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,5.50m,N/A,N/A,N/A,N/A,N/A,11th Jul 10
424,Final Fantasy IX,PS,Square,5.50m,N/A,N/A,N/A,N/A,N/A,13th Nov 00
425,Final Fantasy X-2,PS2,Square Enix,5.50m,N/A,N/A,N/A,N/A,N/A,18th Nov 03
426,Sid Meier's Civilization VI,PC,2K Games,5.50m,N/A,N/A,N/A,N/A,N/A,21st Oct 16
427,Tomb Raider (2013),PC,Square Enix,5.50m,N/A,N/A,N/A,N/A,N/A,05th Mar 13
428,Pokémon Stadium,N64,Nintendo,5.46m,N/A,N/A,N/A,N/A,N/A,06th Mar 00
429,Minecraft,XOne,Microsoft Studios,N/A,5.43m,3.23m,1.71m,N/A,0.49m,18th Nov 14
430,Call of Duty: World at War,PS3,Activision,N/A,5.43m,2.75m,1.84m,N/A,0.84m,10th Nov 08
431,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,5.43m,N/A,N/A,N/A,N/A,N/A,21st Oct 03
432,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,N/A,5.42m,2.07m,2.29m,0.24m,0.82m,29th Oct 01
433,Chrono,Series,Square,5.40m,N/A,N/A,N/A,N/A,N/A,11th Aug 95
434,Luigi's Mansion 3,NS,Nintendo,5.37m,N/A,N/A,N/A,N/A,N/A,31st Oct 19
435,Super Smash Bros. for Wii U,WiiU,Nintendo,5.37m,N/A,N/A,N/A,N/A,N/A,21st Nov 14
436,Final Fantasy XIII,PS3,Square Enix,N/A,5.35m,1.75m,1.23m,1.87m,0.51m,09th Mar 10
437,Xeno,Series,Square,5.35m,N/A,N/A,N/A,N/A,N/A,20th Oct 98
438,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,5.35m,N/A,N/A,N/A,N/A,N/A,15th Apr 08
439,Dr. Mario,GB,Nintendo,5.34m,N/A,N/A,N/A,N/A,N/A,01st Dec 90
440,Assassin's Creed III,X360,Ubisoft,N/A,5.31m,3.13m,1.71m,0.03m,0.45m,30th Oct 12
441,Pokémon Pinball,GBC,Nintendo,5.31m,N/A,N/A,N/A,N/A,N/A,31st Jul 99
442,Assassin's Creed II,X360,Ubisoft,N/A,5.30m,3.14m,1.55m,0.08m,0.52m,17th Nov 09
443,The Forest,PC,Endnight Games Ltd,5.30m,N/A,N/A,N/A,N/A,N/A,30th May 14
444,The Forest,Series,Endnight Games Ltd,5.30m,N/A,N/A,N/A,N/A,N/A,30th Apr 18
445,Donkey Kong 64,N64,Nintendo,5.27m,N/A,N/A,N/A,N/A,N/A,22nd Nov 99
446,Just Dance 2,Wii,Ubisoft,5.25m,N/A,N/A,N/A,N/A,N/A,12th Oct 10
447,Tomb Raider II,PS,Eidos Interactive,N/A,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97
448,Madden NFL 2004,PS2,EA Sports,N/A,5.23m,4.26m,0.26m,0.01m,0.71m,12th Aug 03
449,Subnautica,Series,Unknown Worlds Entertainment,5.23m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
450,Call of Duty: Advanced Warfare,XOne,Activision,N/A,5.22m,3.25m,1.49m,0.01m,0.48m,04th Nov 14
451,Fallout: New Vegas,PC,Bethesda Softworks,5.22m,N/A,N/A,N/A,N/A,N/A,19th Oct 10
452,Gran Turismo 6,PS3,Sony Computer Entertainment America,5.22m,N/A,N/A,N/A,N/A,N/A,06th Dec 13
453,Kingdom Hearts II,PS2,Square Enix,5.20m,N/A,N/A,N/A,N/A,N/A,28th Mar 06
454,NieR,Series,Square Enix,5.20m,N/A,N/A,N/A,N/A,N/A,23rd Apr 10
455,Nintendo Land,WiiU,Nintendo,5.19m,N/A,N/A,N/A,N/A,N/A,18th Nov 12
456,Super Mario Land 3: Wario Land,GB,Nintendo,5.19m,N/A,N/A,N/A,N/A,N/A,09th Feb 94
457,Dead Island,Series,Unknown,5.16m,N/A,N/A,N/A,N/A,N/A,N/A
458,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,5.15m,N/A,N/A,N/A,N/A,N/A,20th Nov 95
459,Medal of Honor: Rising Sun,PS2,Electronic Arts,N/A,5.13m,1.98m,2.23m,0.13m,0.80m,11th Nov 03
460,Battlefield 1,XOne,Electronic Arts,N/A,5.13m,3.37m,1.26m,0.02m,0.48m,21st Oct 16
461,Kirby's Dream Land,GB,Nintendo,5.13m,N/A,N/A,N/A,N/A,N/A,01st Aug 92
462,Microsoft Flight Simulator,PC,Microsoft,N/A,5.12m,3.22m,1.69m,N/A,0.20m,31st Oct 96
463,Guitar Hero II,PS2,RedOctane,N/A,5.12m,3.81m,0.63m,N/A,0.68m,07th Nov 06
464,FIFA 13,X360,EA Sports,N/A,5.11m,1.10m,3.49m,0.03m,0.50m,25th Sep 12
465,Resident Evil 5,PS3,Capcom,N/A,5.10m,1.96m,1.42m,1.08m,0.64m,13th Mar 09
466,Fable III,X360,Microsoft Game Studios,N/A,5.10m,3.59m,1.09m,0.05m,0.37m,26th Oct 10
467,Mario & Sonic at the Olympic Games,DS,Sega,N/A,5.10m,1.63m,2.46m,0.44m,0.57m,22nd Jan 08
468,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,N/A,5.08m,1.70m,2.03m,0.16m,1.19m,31st Oct 06
469,FIFA Soccer 11,PS3,EA Sports,N/A,5.08m,0.61m,3.28m,0.06m,1.12m,28th Sep 10
470,Super Mario Bros. Deluxe,GB,Nintendo,5.07m,N/A,N/A,N/A,N/A,N/A,30th Apr 99
471,Final Fantasy XV,PS4,Square Enix,N/A,5.07m,1.81m,1.53m,1.05m,0.68m,29th Nov 16
472,Super Mario Maker 2,NS,Nintendo,5.04m,N/A,N/A,N/A,N/A,N/A,28th Jun 19
473,Fallout 4,XOne,Bethesda Softworks,N/A,5.03m,2.94m,1.62m,0.02m,0.45m,10th Nov 15
474,Tony Hawk's Pro Skater,PS,Activision,N/A,5.02m,3.42m,1.38m,0.02m,0.20m,31st Aug 99
475,Warzone 2100,PS,Eidos Interactive,N/A,5.01m,2.79m,1.89m,N/A,0.33m,31st May 99
476,Spyro the Dragon,PS,Sony Computer Entertainment,N/A,5.00m,3.36m,1.36m,0.07m,0.21m,10th Sep 98
477,Cuphead,Series,Studio MDHR,5.00m,N/A,N/A,N/A,N/A,N/A,29th Sep 17
478,Gears of War,X360,Microsoft Game Studios,5.00m,N/A,N/A,N/A,N/A,N/A,07th Nov 06
479,Gears of War 2,X360,Microsoft Game Studios,5.00m,N/A,N/A,N/A,N/A,N/A,07th Nov 08
480,Halo 5: Guardians,XOne,Microsoft Studios,5.00m,N/A,N/A,N/A,N/A,N/A,27th Oct 15
481,Halo: Combat Evolved,XB,Microsoft,5.00m,N/A,N/A,N/A,N/A,N/A,14th Nov 01
482,Tecmo Bowl,Series,Tecmo,5.00m,N/A,N/A,N/A,N/A,N/A,01st Dec 87
483,The Matrix,Series,Infogrames,5.00m,N/A,N/A,N/A,N/A,N/A,14th May 03
484,Torchlight,Series,Unknown,5.00m,N/A,N/A,N/A,N/A,N/A,N/A
485,Guitar Hero III: Legends of Rock,PS2,RedOctane,N/A,4.98m,3.49m,0.01m,0.01m,1.48m,28th Oct 07
486,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,N/A,4.97m,2.32m,1.73m,0.12m,0.80m,16th Nov 07
487,Resident Evil 2,PS,Capcom,4.96m,N/A,N/A,N/A,N/A,N/A,21st Jan 98
488,Fallout 3,X360,Bethesda Softworks,N/A,4.96m,3.41m,0.99m,0.09m,0.46m,28th Oct 08
489,Darksiders,Series,THQ,4.95m,N/A,N/A,N/A,N/A,N/A,05th Jan 10
490,Splatoon,WiiU,Nintendo,4.94m,N/A,N/A,N/A,N/A,N/A,29th May 15
491,Madden NFL 06,PS2,EA Sports,N/A,4.91m,3.98m,0.26m,0.01m,0.66m,08th Aug 05
492,Stardew Valley,PC,Chucklefish,4.91m,N/A,N/A,N/A,N/A,N/A,26th Feb 16
493,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,4.90m,N/A,N/A,N/A,N/A,N/A,15th Nov 05
494,Dragon's Dogma,Series,Capcom,4.90m,N/A,N/A,N/A,N/A,N/A,22nd May 12
