Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
116,Football Manager,Series,Sega,20.00m,N/A,N/A,N/A,N/A,N/A,05th Nov 04
117,Frogger,Series,Konami,20.00m,N/A,N/A,N/A,N/A,N/A,23rd Oct 81
118,Gundam,Series,Unknown,20.00m,N/A,N/A,N/A,N/A,N/A,N/A
119,Lemmings,Series,Psygnosis,20.00m,N/A,N/A,N/A,N/A,N/A,14th Feb 91
120,Naruto: Ultimate Ninja,Series,Bandai Namco Entertainment,20.00m,N/A,N/A,N/A,N/A,N/A,26th Jun 06
121,Prince of Persia,Series,Broderbund,20.00m,N/A,N/A,N/A,N/A,N/A,03rd Aug 89
122,Rayman Raving Rabbids,Series,Ubisoft,20.00m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
123,SimCity,Series,Maxis,20.00m,N/A,N/A,N/A,N/A,N/A,02nd Feb 89
124,SingStar,Series,Unknown,20.00m,N/A,N/A,N/A,N/A,N/A,N/A
125,SpongeBob SquarePants,Series,THQ,20.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 01
126,Spyro,Series,Sony Computer Entertainment,20.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 98
127,Tales of,Series,Namco,20.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 98
128,The Last of Us,Series,Sony Computer Entertainment,20.00m,N/A,N/A,N/A,N/A,N/A,14th Jun 13
129,Grand Theft Auto V,PS4,Rockstar Games,N/A,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14
130,Teenage Mutant Ninja Turtles,Series,Konami,19.10m,N/A,N/A,N/A,N/A,N/A,12th May 89
131,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,19.01m,N/A,N/A,N/A,N/A,N/A,17th Apr 06
132,Driver,Series,GT Interactive,19.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 99
133,WarCraft,Series,Unknown,19.00m,N/A,N/A,N/A,N/A,N/A,N/A
134,Mario Kart 7,3DS,Nintendo,18.68m,N/A,N/A,N/A,N/A,N/A,04th Dec 11
135,Midnight Club,Series,Rockstar Games,18.50m,N/A,N/A,N/A,N/A,N/A,26th Oct 00
136,Batman: Arkham,Series,Warner Bros. Interactive Entertainment,18.31m,N/A,N/A,N/A,N/A,N/A,25th Aug 09
137,Super Mario Land,GB,Nintendo,18.14m,N/A,N/A,N/A,N/A,N/A,01st Aug 89
138,Super Smash Bros. Ultimate,NS,Nintendo,17.68m,N/A,N/A,N/A,N/A,N/A,07th Dec 18
139,Pokémon Diamond / Pearl Version,DS,Nintendo,17.67m,N/A,N/A,N/A,N/A,N/A,28th Apr 07
140,StarCraft,Series,Blizzard Entertainment,17.60m,N/A,N/A,N/A,N/A,N/A,31st Mar 98
141,Metroid,Series,Nintendo,17.44m,N/A,N/A,N/A,N/A,N/A,15th Aug 87
142,Grand Theft Auto: San Andreas,PS2,Rockstar Games,17.30m,N/A,N/A,N/A,N/A,N/A,26th Oct 04
143,Super Mario Bros. 3,NES,Nintendo,17.28m,N/A,N/A,N/A,N/A,N/A,12th Feb 90
144,RollerCoaster Tycoon,Series,Hasbro Interactive,17.23m,N/A,N/A,N/A,N/A,N/A,22nd Mar 99
145,Mass Effect,Series,Microsoft Game Studios,17.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 07
146,Professor Layton,Series,Nintendo,17.00m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
